State,Year,MedianHouseholdIncome
Alabama,2023,53990
Alaska,2023,78437
Arizona,2023,68967
Arkansas,2023,52577
California,2023,84831
Colorado,2023,82228
Connecticut,2023,83628
Delaware,2023,71636
District of Columbia,2023,91072
Florida,2023,63054
Georgia,2023,66507
Hawaii,2023,85547
Idaho,2023,66318
Illinois,2023,72215
Indiana,2023,62723
Iowa,2023,65645
Kansas,2023,64128
Kentucky,2023,55532
Louisiana,2023,52090
Maine,2023,64823
Maryland,2023,90129
Massachusetts,2023,89577
Michigan,2023,63444
Minnesota,2023,77712
Mississippi,2023,48871
Missouri,2023,61815
Montana,2023,63357
Nebraska,2023,66949
Nevada,2023,66194
New Hampshire,2023,88268
New Jersey,2023,89227
New Mexico,2023,54304
New York,2023,74230
North Carolina,2023,61997
North Dakota,2023,67603
Ohio,2023,62286
Oklahoma,2023,55829
Oregon,2023,71441
Pennsylvania,2023,68931
Rhode Island,2023,73324
South Carolina,2023,59447
South Dakota,2023,66843
Tennessee,2023,59698
Texas,2023,66959
Utah,2023,79449
Vermont,2023,72415
Virginia,2023,80926
Washington,2023,84155
West Virginia,2023,51122
Wisconsin,2023,67150
Wyoming,2023,66508
